nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
"Finca r&#xFA;stica en Pol&#xED;gono 4";347954179,4433;https://www.pisos.com/comprar/finca_rustica-tibi_centro_urbano-347954179_443300/;38,532141111;-0,574436144;Tibi;Alicante;960.000 €;796 m²;796 m²;572.400 m²;;;;En buen estado;002075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
"Finca r&#xFA;stica en Pasaje Cabezo del Pla";406804603,4433;https://www.pisos.com/comprar/finca_rustica-castalla_centro_urbano-406804603_443300/;38,60632611;-0,668698271;Castalla;Alicante;120.000 €;350 m²;350 m²;16.000 m²;;;;A reformar;002100;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
"Piso en Carrer del Actor Llu&#xED;s Prendes";630598230,2631;https://www.pisos.com/comprar/piso-platja_de_ponent-630598230_263100/;38,531012679;-0,163770656;Benidorm;Alicante;270.000 €;92 m²;72 m²;;2;2.0;Entre 20 y 30 años;En buen estado;001684;Empotrados;En perfecto estado;Tarrima flotante;;;Independiente y reformada;Salón comedor;;TRUE;;Con bonitas vistas;Comunitario;Se;;;;;;TRUE;Sin especificar;;;;;;;TRUE;;;;;;TRUE;7ª;;;TRUE;TRUE;Totalmente reformado;Desconocida_Revisada
Piso en Avenida Marina Baixa;655364961,2631;https://www.pisos.com/comprar/piso-finestrat_cala_de_finestrat-655364961_263100/;38,5288477;-0,1658791;Finestrat;Alicante;193.700 €;70 m²;70 m²;;2;1.0;Entre 30 y 50 años;En buen estado;001720;TRUE;;Terrazo;;;Independiente;Salón-comedor;;;;TRUE;TRUE;TRUE;;;;;;TRUE;TRUE;;;;;;TRUE;TRUE;;;;;;TRUE;1ª;;;TRUE;;;24/02/2026
Apartamento en calle Xaloc;665993384,2631;https://www.pisos.com/comprar/apartamento-cala_de_villajoyosa-665993384_263100/;38,5244454;-0,1703639;La Vila Joiosa Villajoyosa;Alicante;230.000 €;80 m²;80 m²;;2;2.0;;En buen estado;001728;Empotrados;;Sin especificar;;;Independiente;;TRUE;;;TRUE;TRUE;TRUE;;;;;;TRUE;Sin especificar;;;;;;TRUE;TRUE;;;;;;TRUE;2ª;;;TRUE;TRUE;;Desconocida_Revisada
"Chalet r&#xFA;stico en Pol&#xED;gono 4, n&#xBA; 112";830023505,1843;https://www.pisos.com/comprar/chalet_rustico-sax_centro_urbano-830023505_184300/;38,5253050958405;-0,815885066986084;Sax;Alicante;298.000 €;531 m²;531 m²;1.000 m²;5;2.0;Entre 10 y 20 años;En buen estado;06143;Sin especificar;;;;TRUE;;;TRUE;;;TRUE;;;;TRUE;TRUE;;;TRUE;Sin especificar;;TRUE;;Sin especificar;;TRUE;;TRUE;;;;;;;;;;;;11/12/2025
Chalet en Algorfa;835227951,1067;https://www.pisos.com/comprar/chalet-algorfa_centro_urbano-835227951_106700/;38,068424768;-0,783528207;Algorfa;Alicante;280.800 €;570 m²;;;5;2.0;;En buen estado;07026;;;;;;;;;;;TRUE;;;;;;;;1;;;;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;23/02/2026
Piso en Carrer de Figuera;861597487,1005;https://www.pisos.com/comprar/piso-platja_muchavista-861597487_100500/;38,4053589;-0,4080773;El Campello;Alicante;350.000 €;75 m²;67 m²;;2;2.0;;En buen estado;bit211;1;;Gres;;;Cocina americana;;;TRUE;;TRUE;Comunitario;Sur;;;;;;1;Comunitaria;;;Frío;;TRUE;;TRUE;;;True;;;TRUE;11ª;;;;;;24/02/2026
"Finca r&#xFA;stica en Dolores";867701799,1085;https://www.pisos.com/comprar/finca_rustica-dolores_centro_urbano-867701799_108500/;38,136025284;-0,759444635;Dolores;Alicante;210.000 €;570 m²;500 m²;570 m²;5;2.0;;;IW553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/07/2025
"Chalet en calle La Loma , n&#xBA; 2";870005903,519261;https://www.pisos.com/comprar/chalet-urbanizacion_loma_bada-870005903_519261/;38,4540652225183;-0,769972979477365;Petrer;Alicante;495.000 €;240 m²;240 m²;3.000 m²;5;3.0;Entre 20 y 30 años;Reformado;20 240 VT;2;;Mármol;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Privado;Suroeste;TRUE;TRUE;TRUE;True;;2;Propia;;;Frío y calor;Central;;;TRUE;;;True;;;;;;;;;;24/02/2026
